"secs","kph","rpm","watts","hr","torq","km","g"
2.52,30.2,76,149,95,6.1,0.022,3.15
5.04,29.5,75,132,95,5.5,0.041,3.12
7.56,28.9,96,79,95,3.4,0.062,2.39
10.08,28.4,78,125,96,5.4,0.082,2.89
12.6,28.5,74,109,98,4.7,0.101,3.06
15.12,28.6,103,110,98,4.7,0.121,2.2
17.64,27.2,66,55,98,2.5,0.14,3.27
20.16,25.3,87,60,98,2.9,0.159,2.31
22.68,23.8,0,0,100,0,0.177,NA
25.2,21.6,0,0,100,0,0.192,NA
27.72,19.4,0,14,100,0.9,0.205,NA
30.24,16.8,0,0,99,0,0.218,NA
32.76,12.8,0,0,99,0,0.226,NA
35.28,5.8,0,0,99,0,0.231,NA
37.8,10.3,0,227,82,27.2,0.241,NA
40.32,13.7,0,258,82,23.3,0.25,NA
42.84,19.2,40,326,82,21,0.263,3.81
45.36,21.5,53,246,0,14.1,0.278,3.22
47.88,21.3,61,222,114,12.9,0.293,2.77
50.4,20,60,236,114,14.6,0.306,2.65
52.92,17.5,47,292,114,20.6,0.319,2.96
55.44,17.3,50,254,120,18.1,0.332,2.75
57.96,16.9,53,250,122,18.3,0.343,2.53
60.48,16.2,50,237,122,18.1,0.353,2.57
63,16.3,50,257,126,19.4,0.366,2.59
65.52,15.9,49,266,129,20.7,0.377,2.58
68.04,15.5,48,220,132,17.5,0.388,2.56
70.56,15.8,49,229,137,17.9,0.399,2.56
73.08,16.5,50,196,137,14.7,0.409,2.62
75.6,17.1,58,199,138,14.3,0.422,2.34
78.12,17.2,52,154,138,11.1,0.435,2.63
80.64,18.5,56,186,138,12.4,0.446,2.62
83.16,19.8,61,143,138,8.9,0.461,2.58
85.68,20.3,64,126,0,7.7,0.474,2.52
88.2,20.9,65,147,0,8.7,0.489,2.55
90.72,21.5,65,145,0,8.4,0.504,2.63
93.24,21.8,68,146,0,8.2,0.519,2.54
95.76,22.3,68,129,0,7.1,0.534,2.6
98.28,22.9,73,143,0,7.7,0.552,2.49
100.8,23.5,71,178,0,9.4,0.567,2.63
103.32,23.9,73,144,0,7.5,0.584,2.6
105.84,24.1,74,141,129,7.2,0.601,2.58
108.36,24.1,73,125,137,6.4,0.618,2.62
110.88,24.2,77,148,137,7.6,0.636,2.49
113.4,24.2,78,144,137,7.3,0.651,2.46
115.92,24.4,73,130,137,6.6,0.668,2.65
118.44,24.8,80,145,133,7.2,0.685,2.46
120.96,24.4,74,119,133,6,0.703,2.62
123.48,24.6,71,133,132,6.7,0.72,2.75
126,24.8,77,127,132,6.3,0.739,2.56
128.52,24.9,80,164,123,8.1,0.756,2.47
131.04,25.3,77,146,122,7.1,0.774,2.61
133.56,25.3,72,148,122,7.2,0.791,2.79
136.08,25.5,63,147,122,7.1,0.808,3.21
138.6,25.5,77,130,122,6.3,0.825,2.63
141.12,26.1,81,134,120,6.3,0.845,2.56
143.64,26.4,67,121,121,5.6,0.862,3.13
146.16,26.4,81,137,122,6.4,0.881,2.59
148.68,26.8,67,140,119,6.4,0.901,3.17
151.2,27.1,68,144,119,6.6,0.92,3.16
153.72,27.5,83,144,121,6.4,0.937,2.63
156.24,27.5,87,116,121,5.2,0.957,2.51
158.76,27.4,81,133,121,6,0.976,2.68
161.28,27,85,141,120,6.4,0.996,2.52
163.8,26.9,83,140,120,6.4,1.015,2.57
166.32,26.8,79,174,120,8,1.034,2.69
168.84,27.5,83,174,120,7.8,1.052,2.63
171.36,28.1,87,136,120,6,1.073,2.56
